▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.208.1:3000
✓ Ready in 812ms
✓ Running next.config.ts took 82ms

 GET / 200 in 923ms (next.js: 410ms, application-code: 513ms)
 GET / 200 in 69ms (next.js: 7ms, application-code: 62ms)
 GET / 200 in 63ms (next.js: 4ms, application-code: 59ms)
 GET / 200 in 57ms (next.js: 5ms, application-code: 52ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 109ms (next.js: 8ms, application-code: 101ms)
 GET / 200 in 87ms (next.js: 6ms, application-code: 80ms)
 GET / 200 in 85ms (next.js: 5ms, application-code: 80ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 94ms (next.js: 7ms, application-code: 87ms)
 GET / 200 in 75ms (next.js: 5ms, application-code: 70ms)
 GET / 200 in 92ms (next.js: 5ms, application-code: 87ms)
 GET / 200 in 89ms (next.js: 4ms, application-code: 85ms)
 GET / 200 in 107ms (next.js: 6ms, application-code: 101ms)
 GET / 200 in 77ms (next.js: 5ms, application-code: 71ms)
 GET / 200 in 101ms (next.js: 6ms, application-code: 95ms)
 GET / 200 in 80ms (next.js: 4ms, application-code: 76ms)
 GET / 200 in 90ms (next.js: 6ms, application-code: 84ms)
 GET / 200 in 79ms (next.js: 6ms, application-code: 73ms)
 GET / 200 in 84ms (next.js: 6ms, application-code: 78ms)
 GET / 200 in 79ms (next.js: 5ms, application-code: 74ms)
 GET / 200 in 85ms (next.js: 5ms, application-code: 80ms)
 GET / 200 in 74ms (next.js: 5ms, application-code: 69ms)
 GET / 200 in 83ms (next.js: 5ms, application-code: 78ms)
 GET / 200 in 75ms (next.js: 5ms, application-code: 71ms)
 GET / 200 in 96ms (next.js: 5ms, application-code: 91ms)
 GET / 200 in 77ms (next.js: 5ms, application-code: 72ms)
 GET / 200 in 84ms (next.js: 5ms, application-code: 79ms)
 GET / 200 in 75ms (next.js: 4ms, application-code: 71ms)
 GET / 200 in 90ms (next.js: 4ms, application-code: 85ms)
 GET / 200 in 87ms (next.js: 5ms, application-code: 82ms)
 GET / 200 in 97ms (next.js: 5ms, application-code: 92ms)
 GET /?health=off 200 in 89ms (next.js: 4ms, application-code: 85ms)
 GET /?health=off 200 in 101ms (next.js: 6ms, application-code: 95ms)
 GET / 200 in 107ms (next.js: 4ms, application-code: 103ms)
 GET / 200 in 89ms (next.js: 6ms, application-code: 83ms)
